"","Gene_symbol","Transcript","Ensembl","Ensembl_biomart"
"1130","TSN","NM_004622","ENSG00000211460","ENSG00000211460"
"1131","TTC4","NM_004623","ENSG00000221971","ENSG00000243725"
"1132","WRB","NM_004627","ENSG00000182093","ENSG00000182093"
"1133","SF1","NM_004630","ENSG00000168066","ENSG00000168066"
"1134","DAP3","NM_004632","ENSG00000132676","ENSG00000132676"
"1135","BRPF1","NM_004634","ENSG00000156983","ENSG00000156983"
"1136","RAB7A","NM_004637","ENSG00000075785","ENSG00000075785"
"1137","PRRC2A","NM_004638","#N/D","ENSG00000231370"
"1138","PRRC2A","NM_004638","#N/D","ENSG00000204469"
"1139","PRRC2A","NM_004638","#N/D","ENSG00000226618"
"1140","PRRC2A","NM_004638","#N/D","ENSG00000206427"
"1141","PRRC2A","NM_004638","#N/D","ENSG00000225748"
"1142","PRRC2A","NM_004638","#N/D","ENSG00000225164"
"1143","PRRC2A","NM_004638","#N/D","ENSG00000231825"
"1144","BAG6","NM_004639","ENSG00000096155","ENSG00000227761"
"1145","BAG6","NM_004639","ENSG00000096155","ENSG00000096155"
"1146","BAG6","NM_004639","ENSG00000096155","ENSG00000229524"
"1147","BAG6","NM_004639","ENSG00000096155","ENSG00000228760"
"1148","BAG6","NM_004639","ENSG00000096155","ENSG00000234651"
"1149","BAG6","NM_004639","ENSG00000096155","ENSG00000233348"
"1150","BAG6","NM_004639","ENSG00000096155","ENSG00000204463"
"1151","DDX39B","NM_004640","ENSG00000215412","ENSG00000215425"
"1152","DDX39B","NM_004640","ENSG00000215412","ENSG00000198563"
"1153","DDX39B","NM_004640","ENSG00000215412","ENSG00000235439"
"1154","DDX39B","NM_004640","ENSG00000215412","ENSG00000230624"
"1155","DDX39B","NM_004640","ENSG00000215412","ENSG00000225859"
"1156","DDX39B","NM_004640","ENSG00000215412","ENSG00000229496"
"1157","DDX39B","NM_004640","ENSG00000215412","ENSG00000237889"
"1158","DDX39B","NM_004640","ENSG00000215412","ENSG00000225073"
"1159","CDK2AP1","NM_004642","ENSG00000111328","ENSG00000111328"
"1160","PABPN1","NM_004643","ENSG00000100836","ENSG00000100836"
"1161","C21orf33","NM_004649","ENSG00000160221","ENSG00000160221"
"1162","BAP1","NM_004656","ENSG00000163930","ENSG00000163930"
"1163","CDC23","NM_004661","ENSG00000094880","ENSG00000094880"
"1164","RAB11A","NM_004663","ENSG00000103769","ENSG00000103769"
"1165","ASH2L","NM_004674","ENSG00000129691","ENSG00000129691"
"1166","MTMR6","NM_004685","ENSG00000139505","ENSG00000139505"
"1167","ATP6V0D1","NM_004691","ENSG00000159720","ENSG00000159720"
"1168","PRPF4","NM_004697","ENSG00000136875","ENSG00000136875"
"1169","PRPF3","NM_004698","ENSG00000117360","ENSG00000117360"
"1170","FAM50A","NM_004699","ENSG00000071859","ENSG00000071859"
"1171","RABEP1","NM_004703","ENSG00000029725","ENSG00000029725"
"1172","ATG12","NM_004707","ENSG00000145782","ENSG00000145782"
"1173","PDCD5","NM_004708","ENSG00000105185","ENSG00000105185"
"1174","HGS","NM_004712","ENSG00000185359","ENSG00000185359"
"1175","PCSK7","NM_004716","ENSG00000160613","ENSG00000160613"
"1176","COX7A2L","NM_004718","ENSG00000115944","ENSG00000115944"
"1177","SCAF11","NM_004719","ENSG00000139218","ENSG00000139218"
"1178","ZW10","NM_004724","ENSG00000086827","ENSG00000086827"
"1179","BUB3","NM_004725","ENSG00000154473","ENSG00000154473"
"1180","DDX21","NM_004728","ENSG00000165732","ENSG00000165732"
"1181","ETF1","NM_004730","ENSG00000120705","ENSG00000120705"
"1182","VAPB","NM_004738","ENSG00000124164","ENSG00000124164"
"1183","MTA2","NM_004739","ENSG00000149480","ENSG00000149480"
"1184","NOLC1","NM_004741","ENSG00000166197","ENSG00000166197"
"1185","CCPG1","NM_004748","ENSG00000214882","ENSG00000260916"
"1186","TBRG4","NM_004749","ENSG00000136270","ENSG00000136270"
"1187","AIMP1","NM_004757","ENSG00000164022","ENSG00000164022"
"1188","MAPKAPK2","NM_004759","ENSG00000162889","ENSG00000162889"
"1189","COPB2","NM_004766","ENSG00000184432","ENSG00000184432"
"1190","SRSF11","NM_004768","ENSG00000116754","ENSG00000116754"
"1191","ZNHIT3","NM_004773","ENSG00000108278","ENSG00000278574"
"1192","ZNHIT3","NM_004773","ENSG00000108278","ENSG00000273611"
"1193","B4GALT5","NM_004776","ENSG00000158470","ENSG00000158470"
"1194","VAMP3","NM_004781","ENSG00000049245","ENSG00000049245"
"1195","SNAP29","NM_004782","ENSG00000099940","ENSG00000099940"
"1196","TAOK2","NM_004783","ENSG00000149930","ENSG00000149930"
"1197","TXNL1","NM_004786","ENSG00000091164","ENSG00000091164"
"1198","UBE4A","NM_004788","ENSG00000110344","ENSG00000110344"
"1199","PPIG","NM_004792","ENSG00000138398","ENSG00000138398"
"1200","LONP1","NM_004793","ENSG00000196365","ENSG00000196365"
"1201","TM9SF2","NM_004800","ENSG00000125304","ENSG00000125304"
"1202","CIAO1","NM_004804","ENSG00000144021","ENSG00000144021"
"1203","POLR2D","NM_004805","ENSG00000144231","ENSG00000144231"
"1204","HS6ST1","NM_004807","ENSG00000136720","ENSG00000136720"
"1205","STOML1","NM_004809","ENSG00000067221","ENSG00000067221"
"1206","PEX16","NM_004813","ENSG00000121680","ENSG00000121680"
"1207","SNRNP40","NM_004814","ENSG00000060688","ENSG00000060688"
"1208","DDX23","NM_004818","ENSG00000174243","ENSG00000174243"
"1209","SYMPK","NM_004819","ENSG00000125755","ENSG00000125755"
"1210","CDYL","NM_004824","ENSG00000153046","ENSG00000153046"
"1211","GSTO1","NM_004832","ENSG00000148834","ENSG00000148834"
"1212","MAP4K4","NM_004834","ENSG00000071054","ENSG00000071054"
"1213","EIF2AK3","NM_004836","ENSG00000172071","ENSG00000172071"
"1214","EIF4E2","NM_004846","ENSG00000135930","ENSG00000135930"
"1215","ATG5","NM_004849","ENSG00000057663","ENSG00000057663"
"1216","STX8","NM_004853","ENSG00000170310","ENSG00000170310"
"1217","CLTC","NM_004859","ENSG00000141367","ENSG00000141367"
"1218","MPDU1","NM_004870","ENSG00000129255","ENSG00000129255"
"1219","GOSR1","NM_004871","ENSG00000108587","ENSG00000108587"
"1220","TMEM59","NM_004872","ENSG00000116209","ENSG00000116209"
"1221","BAG4","NM_004874","ENSG00000156735","ENSG00000156735"
"1222","EI24","NM_004879","ENSG00000149547","ENSG00000149547"
"1223","CIR1","NM_004882","ENSG00000138433","ENSG00000138433"
"1224","ATP6V1G1","NM_004888","ENSG00000136888","ENSG00000136888"
"1225","ATP5J2","NM_004889","ENSG00000160916","ENSG00000241468"
"1226","SPAG7","NM_004890","ENSG00000091640","ENSG00000091640"
"1227","MRPL33","NM_004891","ENSG00000163797","ENSG00000243147"
"1228","SEC22B","NM_004892","ENSG00000218759","ENSG00000265808"
"1229","H2AFY","NM_004893","ENSG00000113648","ENSG00000113648"
"1230","C14orf2","NM_004894","ENSG00000156411","ENSG00000156411"
"1231","VPS26A","NM_004896","ENSG00000122958","ENSG00000122958"
"1232","CLOCK","NM_004898","ENSG00000134852","ENSG00000134852"
"1233","BRE","NM_004899","ENSG00000158019",NA
"1234","ENTPD4","NM_004901","ENSG00000197217","ENSG00000197217"
"1235","RBM39","NM_004902","ENSG00000131051","ENSG00000131051"
"1236","PRDX6","NM_004905","ENSG00000117592","ENSG00000117592"
"1237","WTAP","NM_004906","ENSG00000146457","ENSG00000146457"
"1238","SEC24C","NM_004922","ENSG00000176986","ENSG00000176986"
"1239","MRPL49","NM_004927","ENSG00000149792","ENSG00000149792"
"1240","C21orf2","NM_004928","ENSG00000160226","ENSG00000160226"
"1241","CAPZB","NM_004930","ENSG00000077549","ENSG00000077549"
"1242","DDX1","NM_004939","ENSG00000079785","ENSG00000079785"
"1243","DHX8","NM_004941","ENSG00000067596","ENSG00000067596"
"1244","DNM2","NM_004945","ENSG00000079805","ENSG00000079805"
"1245","EIF4G1","NM_004953","ENSG00000114867","ENSG00000114867"
"1246","FPGS","NM_004957","ENSG00000136877","ENSG00000136877"
"1247","HNRNPF","NM_004966","ENSG00000169813","ENSG00000169813"
"1248","KTN1","NM_004986","ENSG00000126777","ENSG00000126777"
"1249","MARS","NM_004990","ENSG00000166986","ENSG00000166986"
"1250","MECP2","NM_004992","ENSG00000169057","ENSG00000169057"
"1251","MYO1E","NM_004998","ENSG00000157483","ENSG00000157483"
"1252","NDUFA5","NM_005000","ENSG00000128609","ENSG00000128609"
"1253","NDUFA7","NM_005001","ENSG00000167774","ENSG00000267855"
"1254","NDUFA9","NM_005002","ENSG00000139180","ENSG00000139180"
"1255","NDUFB8","NM_005004","ENSG00000166136","ENSG00000166136"
"1256","NDUFB9","NM_005005","ENSG00000147684","ENSG00000147684"
"1257","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000204498"
"1258","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000236196"
"1259","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000227565"
"1260","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000206440"
"1261","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000235125"
"1262","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000236346"
"1263","NFKBIL1","NM_005007","ENSG00000168593","ENSG00000234530"
"1264","NHP2L1","NM_005008","ENSG00000100138",NA
"1265","OXA1L","NM_005015","ENSG00000155463","ENSG00000155463"
"1266","PCBP2","NM_005016","ENSG00000197111","ENSG00000197111"
"1267","PCYT1A","NM_005017","ENSG00000161217","ENSG00000161217"
"1268","PFN1","NM_005022","ENSG00000108518","ENSG00000108518"
"1269","POLR2K","NM_005034","ENSG00000147669","ENSG00000147669"
"1270","PPARA","NM_005036","ENSG00000186951","ENSG00000186951"
"1271","PPID","NM_005038","ENSG00000171497","ENSG00000171497"
"1272","PSMD5","NM_005047","ENSG00000095261","ENSG00000095261"
"1273","PWP2","NM_005049","ENSG00000160220","ENSG00000241945"
"1274","QARS","NM_005051","ENSG00000172053","ENSG00000172053"
"1275","SEL1L","NM_005065","ENSG00000071537","ENSG00000071537"
"1276","SIAH2","NM_005067","ENSG00000181788","ENSG00000181788"
"1277","TLE1","NM_005077","ENSG00000196781","ENSG00000196781"
"1278","SLC27A4","NM_005094","ENSG00000167114","ENSG00000167114"
"1279","FEZ2","NM_005102","ENSG00000171055","ENSG00000171055"
"1280","BRD2","NM_005104","ENSG00000215077","ENSG00000235307"
"1281","BRD2","NM_005104","ENSG00000215077","ENSG00000230678"
"1282","BRD2","NM_005104","ENSG00000215077","ENSG00000236227"
"1283","BRD2","NM_005104","ENSG00000215077","ENSG00000234704"
"1284","BRD2","NM_005104","ENSG00000215077","ENSG00000234507"
"1285","BRD2","NM_005104","ENSG00000215077","ENSG00000204256"
"1286","BRD2","NM_005104","ENSG00000215077","ENSG00000215077"
"1287","RBM8A","NM_005105","ENSG00000131795","ENSG00000265241"
"1288","WDR1","NM_005112","ENSG00000071127","ENSG00000071127"
"1289","GOLGA5","NM_005113","ENSG00000066455","ENSG00000066455"
"1290","THRAP3","NM_005119","ENSG00000054118","ENSG00000054118"
"1291","MED13","NM_005121","ENSG00000108510","ENSG00000108510"
"1292","NUP153","NM_005124","ENSG00000124789","ENSG00000124789"
"1293","PPP4R1","NM_005134","ENSG00000154845","ENSG00000154845"
"1294","SCO2","NM_005138","ENSG00000130489","ENSG00000130489"
"1295","SCO2","NM_005138","ENSG00000130489","ENSG00000284194"
"1296","SART1","NM_005146","ENSG00000175467","ENSG00000175467"
"1297","DNAJA3","NM_005147","ENSG00000103423","ENSG00000103423"
"1298","DNAJA3","NM_005147","ENSG00000103423","ENSG00000276726"
"1299","USP14","NM_005151","ENSG00000101557","ENSG00000101557"
"1300","USP10","NM_005153","ENSG00000103194","ENSG00000103194"
"1301","USP8","NM_005154","ENSG00000138592","ENSG00000138592"
"1302","AKT1","NM_005163","ENSG00000142208","ENSG00000142208"
"1303","ATF1","NM_005171","ENSG00000123268","ENSG00000123268"
"1304","ATP5C1","NM_005174","ENSG00000165629","ENSG00000165629"
"1305","ATP5G2","NM_005176","ENSG00000135390","ENSG00000135390"
"1306","BMI1","NM_005180","ENSG00000168283","ENSG00000168283"
"1307","CAPN1","NM_005186","ENSG00000014216","ENSG00000014216"
"1308","CHKB","NM_005198","ENSG00000205560","ENSG00000100288"
"1309","CRK","NM_005206","ENSG00000167193","ENSG00000167193"
"1310","CRKL","NM_005207","ENSG00000099942","ENSG00000099942"
"1311","DDOST","NM_005216","ENSG00000117242","ENSG00000244038"
"1312","ELK1","NM_005229","ENSG00000126767","ENSG00000126767"
"1313","CTTN","NM_005231","ENSG00000085733","ENSG00000085733"
"1314","EWSR1","NM_005243","ENSG00000182944","ENSG00000182944"
"1315","GFER","NM_005262","ENSG00000127554","ENSG00000127554"
"1316","GNB2","NM_005273","ENSG00000172354","ENSG00000172354"
"1317","RAPGEF1","NM_005312","ENSG00000107263","ENSG00000107263"
"1318","GTF2H1","NM_005316","ENSG00000110768","ENSG00000110768"
"1319","HAGH","NM_005326","ENSG00000063854","ENSG00000063854"
"1320","HADH","NM_005327","ENSG00000138796","ENSG00000138796"
"1321","HCCS","NM_005333","ENSG00000004961","ENSG00000004961"
"1322","HCFC1","NM_005334","ENSG00000172534","ENSG00000172534"
"1323","HDLBP","NM_005336","ENSG00000115677","ENSG00000115677"
"1324","UBE2K","NM_005339","ENSG00000078140","ENSG00000078140"
"1325","HINT1","NM_005340","ENSG00000169567","ENSG00000169567"
"1326","HSPA5","NM_005347","ENSG00000044574","ENSG00000044574"
"1327","JUND","NM_005354","ENSG00000130522","ENSG00000130522"
"1328","SMAD4","NM_005359","ENSG00000141646","ENSG00000141646"
"1329","NCL","NM_005381","ENSG00000115053","ENSG00000115053"
"1330","NFIL3","NM_005384","ENSG00000165030","ENSG00000165030"
"1331","PCMT1","NM_005389","ENSG00000120265","ENSG00000120265"
"1332","RALA","NM_005402","ENSG00000006451","ENSG00000006451"
"1333","SKIL","NM_005414","ENSG00000136603","ENSG00000136603"
"1334","SLC20A1","NM_005415","ENSG00000144136","ENSG00000144136"
"1335","MLF2","NM_005439","ENSG00000089693","ENSG00000089693"
"1336","RQCD1","NM_005444","ENSG00000144580",NA
"1337","WDR46","NM_005452","ENSG00000007816","ENSG00000227057"
"1338","WDR46","NM_005452","ENSG00000007816","ENSG00000226916"
"1339","WDR46","NM_005452","ENSG00000007816","ENSG00000206284"
"1340","WDR46","NM_005452","ENSG00000007816","ENSG00000204221"
"1341","WDR46","NM_005452","ENSG00000007816","ENSG00000236222"
"1342","ZRANB2","NM_005455","ENSG00000132485","ENSG00000132485"
"1343","MED6","NM_005466","ENSG00000133997","ENSG00000133997"
"1344","ACOT8","NM_005469","ENSG00000101473","ENSG00000101473"
"1345","ABI1","NM_005470","ENSG00000136754","ENSG00000136754"
"1346","GNPDA1","NM_005471","ENSG00000113552","ENSG00000113552"
"1347","GNE","NM_005476","ENSG00000159921","ENSG00000159921"
"1348","MED16","NM_005481","ENSG00000175221","ENSG00000282092"
"1349","MED16","NM_005481","ENSG00000175221","ENSG00000175221"
"1350","PIGK","NM_005482","ENSG00000142892","ENSG00000142892"
"1351","PARP3","NM_005485","ENSG00000041880","ENSG00000041880"
"1352","UBA2","NM_005499","ENSG00000126261","ENSG00000126261"
"1353","SAE1","NM_005500","ENSG00000142230","ENSG00000142230"
"1354","SCARB2","NM_005506","ENSG00000138760","ENSG00000138760"
"1355","HNRNPH1","NM_005520","ENSG00000169045","ENSG00000169045"
"1356","DNAJC4","NM_005528","ENSG00000110011","ENSG00000110011"
"1357","IDH3A","NM_005530","ENSG00000166411","ENSG00000166411"
"1358","INPP5A","NM_005539","ENSG00000068383","ENSG00000068383"
"1359","KARS","NM_005548","ENSG00000065427","ENSG00000065427"
"1360","LAMP1","NM_005561","ENSG00000185896","ENSG00000185896"
"1361","LDHA","NM_005566","ENSG00000134333","ENSG00000134333"
"1362","LMAN1","NM_005570","ENSG00000074695","ENSG00000074695"
"1363","MEF2A","NM_005587","ENSG00000068305","ENSG00000068305"
"1364","NIT1","NM_005600","ENSG00000158793","ENSG00000158793"
"1365","RBBP4","NM_005610","ENSG00000162521","ENSG00000162521"
"1366","REST","NM_005612","ENSG00000084093","ENSG00000084093"
"1367","SRSF4","NM_005626","ENSG00000116350","ENSG00000116350"
"1368","TAF11","NM_005643","ENSG00000064995","ENSG00000064995"
"1369","TAF12","NM_005644","ENSG00000120656","ENSG00000120656"
"1370","TAF13","NM_005645","ENSG00000197780","ENSG00000197780"
"1371","TCEB1","NM_005648","ENSG00000154582",NA
"1372","TCF20","NM_005650","ENSG00000100207","ENSG00000100207"
"1373","TCF20","NM_005650","ENSG00000100207","ENSG00000262024"
"1374","TCF20","NM_005650","ENSG00000100207","ENSG00000276461"
"1375","TCF20","NM_005650","ENSG00000100207","ENSG00000280467"
"1376","TCF20","NM_005650","ENSG00000100207","ENSG00000281897"
"1377","TCF20","NM_005650","ENSG00000100207","ENSG00000283026"
"1378","TCF20","NM_005650","ENSG00000100207","ENSG00000282892"
"1379","TCF20","NM_005650","ENSG00000100207","ENSG00000283681"
"1380","TERF2","NM_005652","ENSG00000132604","ENSG00000132604"
"1381","TFCP2","NM_005653","ENSG00000135457","ENSG00000135457"
"1382","UFD1L","NM_005659","ENSG00000070010",NA
"1383","SLC35A2","NM_005660","ENSG00000102100","ENSG00000102100"
"1384","VDAC3","NM_005662","ENSG00000078668","ENSG00000078668"
"1385","RNF103","NM_005667","ENSG00000115561","ENSG00000239305"
"1386","REEP5","NM_005669","ENSG00000129625","ENSG00000129625"
"1387","RBM10","NM_005676","ENSG00000182872","ENSG00000182872"
"1388","FARSB","NM_005687","ENSG00000116120","ENSG00000116120"
"1389","DNM1L","NM_005690","ENSG00000087470","ENSG00000087470"
"1390","ABCF2","NM_005692","ENSG00000033050","ENSG00000033050"
"1391","SCAMP2","NM_005697","ENSG00000140497","ENSG00000140497"
"1392","SCAMP3","NM_005698","ENSG00000116521","ENSG00000116521"
"1393","SCAMP3","NM_005698","ENSG00000116521","ENSG00000263290"
"1394","SNUPN","NM_005701","ENSG00000169371","ENSG00000169371"
"1395","ERAL1","NM_005702","ENSG00000132591","ENSG00000132591"
"1396","TSSC4","NM_005706","ENSG00000184281","ENSG00000184281"
"1397","PQBP1","NM_005710","ENSG00000102103","ENSG00000102103"
"1398","GIPC1","NM_005716","ENSG00000123159","ENSG00000123159"
"1399","TSFM","NM_005726","ENSG00000123297","ENSG00000123297"
"1400","PPIF","NM_005729","ENSG00000108179","ENSG00000108179"
"1401","CTDSP2","NM_005730","ENSG00000175215","ENSG00000175215"
"1402","ARPC2","NM_005731","ENSG00000163466","ENSG00000163466"
"1403","RAD50","NM_005732","ENSG00000113522","ENSG00000113522"
"1404","ACTR1B","NM_005735","ENSG00000115073","ENSG00000115073"
"1405","ACTR1A","NM_005736","ENSG00000138107","ENSG00000138107"
"1406","ARIH1","NM_005744","ENSG00000166233","ENSG00000166233"
"1407","BCAP31","NM_005745","ENSG00000185825","ENSG00000185825"
"1408","NAMPT","NM_005746","ENSG00000105835","ENSG00000105835"
"1409","YAF2","NM_005748","ENSG00000015153","ENSG00000015153"
"1410","TOB1","NM_005749","ENSG00000141232","ENSG00000141232"
"1411","AKAP9","NM_005751","ENSG00000127914","ENSG00000127914"
"1412","G3BP1","NM_005754","ENSG00000145907","ENSG00000145907"
"1413","CEBPZ","NM_005760","ENSG00000115816","ENSG00000115816"
"1414","TRIM28","NM_005762","ENSG00000130726","ENSG00000130726"
"1415","LPCAT3","NM_005768","ENSG00000111684","ENSG00000111684"
"1416","CNIH","NM_005776","ENSG00000100528",NA
"1417","RBM6","NM_005777","ENSG00000004534","ENSG00000004534"
"1418","RBM5","NM_005778","ENSG00000003756","ENSG00000003756"
"1419","ALYREF","NM_005782","ENSG00000183684","ENSG00000183684"
"1420","TXNDC9","NM_005783","ENSG00000115514","ENSG00000115514"
"1421","PSME3","NM_005789","ENSG00000131467","ENSG00000131467"
"1422","MPHOSPH10","NM_005791","ENSG00000124383","ENSG00000124383"
"1423","NME6","NM_005793","ENSG00000172113","ENSG00000172113"
"1424","NUTF2","NM_005796","ENSG00000102898","ENSG00000102898"
"1425","EIF1","NM_005801","ENSG00000173812","ENSG00000173812"
"1426","TOPORS","NM_005802","ENSG00000197579","ENSG00000197579"
"1427","FLOT1","NM_005803","ENSG00000206379","ENSG00000206379"
"1428","FLOT1","NM_005803","ENSG00000206379","ENSG00000206480"
"1429","FLOT1","NM_005803","ENSG00000206379","ENSG00000232280"
"1430","FLOT1","NM_005803","ENSG00000206379","ENSG00000230143"
"1431","FLOT1","NM_005803","ENSG00000206379","ENSG00000224740"
"1432","FLOT1","NM_005803","ENSG00000206379","ENSG00000236271"
"1433","FLOT1","NM_005803","ENSG00000206379","ENSG00000137312"
"1434","FLOT1","NM_005803","ENSG00000206379","ENSG00000223654"
"1435","PSMD14","NM_005805","ENSG00000115233","ENSG00000115233"
"1436","PRDX2","NM_005809","ENSG00000167815","ENSG00000167815"
"1437","PLIN3","NM_005817","ENSG00000105355","ENSG00000105355"
"1438","HNRNPR","NM_005826","ENSG00000125944","ENSG00000125944"
"1439","HNRNPR","NM_005826","ENSG00000125944","ENSG00000282958"
"1440","SLC35B1","NM_005827","ENSG00000121073","ENSG00000121073"
"1441","DCAF7","NM_005828","ENSG00000136485","ENSG00000136485"
"1442","AP3S2","NM_005829","ENSG00000157823","ENSG00000157823"
"1443","MRPS31","NM_005830","ENSG00000102738","ENSG00000102738"
"1444","CALCOCO2","NM_005831","ENSG00000136436","ENSG00000136436"
"1445","RABEPK","NM_005833","ENSG00000136933","ENSG00000136933"
"1446","TIMM17B","NM_005834","ENSG00000126768","ENSG00000126768"
"1447","POP7","NM_005837","ENSG00000172336","ENSG00000172336"
"1448","SRRM1","NM_005839","ENSG00000133226","ENSG00000133226"
"1449","STAM2","NM_005843","ENSG00000115145","ENSG00000115145"
"1450","DENND4A","NM_005848","ENSG00000174485","ENSG00000174485"
"1451","SF3B4","NM_005850","ENSG00000143368","ENSG00000143368"
"1452","ZMPSTE24","NM_005857","ENSG00000084073","ENSG00000084073"
"1453","AKAP8","NM_005858","ENSG00000105127","ENSG00000105127"
"1454","PURA","NM_005859","ENSG00000185129","ENSG00000185129"
"1455","STUB1","NM_005861","ENSG00000103266","ENSG00000103266"
"1456","SIGMAR1","NM_005866","ENSG00000147955","ENSG00000147955"
"1457","SAP18","NM_005870","ENSG00000150459","ENSG00000150459"
"1458","SMNDC1","NM_005871","ENSG00000119953","ENSG00000119953"
"1459","BCAS2","NM_005872","ENSG00000116752","ENSG00000116752"
"1460","EIF1B","NM_005875","ENSG00000114784","ENSG00000114784"
"1461","SF3A1","NM_005877","ENSG00000099995","ENSG00000099995"
"1462","DNAJA2","NM_005880","ENSG00000069345","ENSG00000069345"
"1463","BCKDK","NM_005881","ENSG00000103507","ENSG00000103507"
"1464","MAEA","NM_005882","ENSG00000090316","ENSG00000090316"
"1465","6-Mar","NM_005885","ENSG00000145495",NA
"1466","GOLGA3","NM_005895","ENSG00000090615","ENSG00000090615"
"1467","CAPRIN1","NM_005898","ENSG00000135387","ENSG00000135387"
"1468","NBR1","NM_005899","ENSG00000188554","ENSG00000188554"
"1469","SMAD2","NM_005901","ENSG00000175387","ENSG00000175387"
"1470","SMAD5","NM_005903","ENSG00000113658","ENSG00000113658"
"1471","MCM7","NM_005916","ENSG00000166508","ENSG00000166508"
"1472","MFAP1","NM_005926","ENSG00000140259","ENSG00000140259"
"1473","MFAP3","NM_005927","ENSG00000037749","ENSG00000037749"
"1474","CTAGE5","NM_005930","ENSG00000150527","ENSG00000150527"
"1475","MLLT1","NM_005934","ENSG00000130382","ENSG00000130382"
"1476","MXI1","NM_005962","ENSG00000119950","ENSG00000119950"
"1477","HNRNPM","NM_005968","ENSG00000099783","ENSG00000099783"
"1478","NAP1L4","NM_005969","ENSG00000205531","ENSG00000205531"
"1479","NAP1L4","NM_005969","ENSG00000205531","ENSG00000273562"
"1480","PRCC","NM_005973","ENSG00000143294","ENSG00000143294"
"1481","RNF6","NM_005977","ENSG00000127870","ENSG00000127870"
"1482","TSPAN31","NM_005981","ENSG00000135452","ENSG00000135452"
"1483","TBCD","NM_005993","ENSG00000141556","ENSG00000141556"
"1484","TBCD","NM_005993","ENSG00000141556","ENSG00000278759"
"1485","VPS72","NM_005997","ENSG00000163159","ENSG00000163159"
"1486","CCT3","NM_005998","ENSG00000163468","ENSG00000163468"
"1487","TSNAX","NM_005999","ENSG00000116918","ENSG00000116918"
"1488","UCHL3","NM_006002","ENSG00000118939","ENSG00000118939"
"1489","ZFAND5","NM_006007","ENSG00000107372","ENSG00000107372"
"1490","CLPP","NM_006012","ENSG00000125656","ENSG00000125656"
"1491","LAGE3","NM_006014","ENSG00000196976","ENSG00000196976"
"1492","CD164","NM_006016","ENSG00000135535","ENSG00000135535"
"1493","ALKBH1","NM_006020","ENSG00000100601","ENSG00000100601"
"1494","CDC123","NM_006023","ENSG00000151465","ENSG00000151465"
"1495","TAX1BP1","NM_006024","ENSG00000106052","ENSG00000106052"
"1496","H1FX","NM_006026","ENSG00000184897","ENSG00000184897"
"1497","SPATA2","NM_006038","ENSG00000158480","ENSG00000158480"
"1498","HDAC6","NM_006044","ENSG00000094631","ENSG00000094631"
"1499","RBM12","NM_006047","ENSG00000214078","ENSG00000244462"
"1500","UBE4B","NM_006048","ENSG00000130939","ENSG00000130939"
"1501","SNAPC5","NM_006049","ENSG00000174446","ENSG00000174446"
"1502","DSCR3","NM_006052","ENSG00000157538","ENSG00000157538"
"1503","TNIP1","NM_006058","ENSG00000145901","ENSG00000145901"
"1504","AKR1A1","NM_006066","ENSG00000117448","ENSG00000117448"
"1505","EMC8","NM_006067","ENSG00000131148","ENSG00000131148"
"1506","TFG","NM_006070","ENSG00000114354","ENSG00000114354"
"1507","MICU1","NM_006077","ENSG00000107745","ENSG00000107745"
"1508","TUBA1B","NM_006082","ENSG00000123416","ENSG00000123416"
"1509","BPNT1","NM_006085","ENSG00000162813","ENSG00000162813"
"1510","LUC7L3","NM_006107","ENSG00000108848","ENSG00000108848"
"1511","PRMT5","NM_006109","ENSG00000100462","ENSG00000100462"
"1512","PPIE","NM_006112","ENSG00000084072","ENSG00000084072"
"1513","TOMM40","NM_006114","ENSG00000130204","ENSG00000130204"
"1514","TAB1","NM_006116","ENSG00000100324","ENSG00000100324"
"1515","ECI2","NM_006117","ENSG00000198721","ENSG00000198721"
"1516","HAX1","NM_006118","ENSG00000143575","ENSG00000143575"
"1517","MAN2A2","NM_006122","ENSG00000196547","ENSG00000196547"
"1518","TMEM50B","NM_006134","ENSG00000142188","ENSG00000142188"
"1519","TMEM50B","NM_006134","ENSG00000142188","ENSG00000263160"
"1520","CAPZA2","NM_006136","ENSG00000198898","ENSG00000198898"
"1521","NCK1","NM_006153","ENSG00000158092","ENSG00000158092"
"1522","NEDD8","NM_006156","ENSG00000129559","ENSG00000129559"
"1523","NFE2L2","NM_006164","ENSG00000116044","ENSG00000116044"
"1524","NFYB","NM_006166","ENSG00000120837","ENSG00000120837"
"1525","NOP2","NM_006170","ENSG00000111641","ENSG00000111641"
"1526","NUCB1","NM_006184","ENSG00000104805","ENSG00000104805"
"1527","PA2G4","NM_006191","ENSG00000170515","ENSG00000170515"
"1528","PCBP1","NM_006196","ENSG00000169564","ENSG00000169564"
"1529","PCM1","NM_006197","ENSG00000078674","ENSG00000078674"
"1530","CDK16","NM_006201","ENSG00000102225","ENSG00000102225"
"1531","PIK3CB","NM_006219","ENSG00000051382","ENSG00000051382"
"1532","PIN1","NM_006221","ENSG00000127445","ENSG00000127445"
