Ensembl	species	Gene	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
ENSG00000145348	Mm Hs	TBCK	Cajal-Retzius cells	MGC16169|HSPC302	0.006	TBC1 domain containing kinase	protein-coding gene	NA	Ectoderm	Brain	0	0.0112994	0.00156642	0.00740548
ENSG00000174136	Mm Hs	RGMB	Cajal-Retzius cells	FLJ90406|DRAGON	0.009	repulsive guidance molecule BMP co-receptor b	protein-coding gene	NA	Ectoderm	Brain	0	0.0112994	0.00626566	0.0103287
ENSG00000165617	Mm Hs	DACT1	Cajal-Retzius cells	DAPPER1|THYEX3|HDPR1|DAPPER|FRODO	0.003	dishevelled binding antagonist of beta catenin 1	protein-coding gene	NA	Ectoderm	Brain	0	0.00564972	0.00783208	0.00266338
ENSG00000070748	Mm Hs	CHAT	Cholinergic neurons	NA	0.001	choline O-acetyltransferase	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00160555
ENSG00000187714	Mm Hs	SLC18A3	Cholinergic neurons	VACHT	0.002	solute carrier family 18 member A3	protein-coding gene	1	Ectoderm	Brain	0	0	0.00125313	0.00237621
ENSG00000087085	Mm Hs	ACHE	Cholinergic neurons	YT	0.016	acetylcholinesterase (Cartwright blood group)	protein-coding gene	1	Ectoderm	Brain	0	0	0.00469925	0.0195877
ENSG00000115665	Mm Hs	SLC5A7	Cholinergic neurons	hCHT|CHT1	0.002	solute carrier family 5 member 7	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00269732
ENSG00000180176	Mm Hs	TH	Dopaminergic neurons	DYT5b	0.002	tyrosine hydroxylase	protein-coding gene	1	Ectoderm	Brain	1	0	0.00156691	0.00244043
ENSG00000125798	Mm Hs	FOXA2	Dopaminergic neurons	HNF3B	0.009	forkhead box A2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00595425	0.0099544
ENSG00000157542	Mm Hs	KCNJ6	Dopaminergic neurons	Kir3.2|GIRK2|KATP2|BIR1|hiGIRK2|KCNJ7	0.002	potassium voltage-gated channel subfamily J member 6	protein-coding gene	NA	Ectoderm	Brain	1	0	0.0103416	6.42E-05
ENSG00000153234	Mm Hs	NR4A2	Dopaminergic neurons	TINUR|NOT|RNR1|HZF-3|NURR1	0.033	nuclear receptor subfamily 4 group A member 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.078032	0.0255603
ENSG00000136944	Mm Hs	LMX1B	Dopaminergic neurons	NPS1	0.001	LIM homeobox transcription factor 1 beta	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.000899107
ENSG00000007402	Mm Hs	CACNA2D2	Dopaminergic neurons	KIAA0558	0.027	calcium voltage-gated channel auxiliary subunit alpha2delta 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00125353	0.0343587
ENSG00000081803	Mm Hs	CADPS2	Dopaminergic neurons	CAPS2	0.004	calcium dependent secretion activator 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00156691	0.00475242
ENSG00000147434	Mm Hs	CHRNA6	Dopaminergic neurons	NA	0.003	cholinergic receptor nicotinic alpha 6 subunit	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.00398176
ENSG00000008735	Mm Hs	MAPK8IP2	Dopaminergic neurons	IB2|JIP2|PRKM8IPL	0.025	mitogen-activated protein kinase 8 interacting protein 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.031533
ENSG00000065320	Mm Hs	NTN1	Dopaminergic neurons	NTN1L	0.007	netrin 1	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.00866996
ENSG00000126583	Mm Hs	PRKCG	Dopaminergic neurons	PKCC|MGC57564|PKCG|SCA14	0.005	protein kinase C gamma	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.00597264
ENSG00000136531	Hs	SCN2A	Dopaminergic neurons	Nav1.2|HBSCII|SCN2A1|SCN2A2	0.002	sodium voltage-gated channel alpha subunit 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.0034472	0
ENSG00000009694	Mm Hs	TENM1	Dopaminergic neurons	TEN-M1|TNM|ODZ1	0.013	teneurin transmembrane protein 1	protein-coding gene	NA	Ectoderm	Brain	0	0	0	0.0165693
ENSG00000132437	Mm Hs	DDC	Dopaminergic neurons	AADC	0.014	dopa decarboxylase	protein-coding gene	1	Ectoderm	Brain	1	0	0.00438734	0.0163766
ENSG00000165646	Mm Hs	SLC18A2	Dopaminergic neurons	SVMT|SVAT|VMAT2	0.006	solute carrier family 18 member A2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00125353	0.00770663
ENSG00000187714	Mm Hs	SLC18A3	Dopaminergic neurons	VACHT	0.002	solute carrier family 18 member A3	protein-coding gene	1	Ectoderm	Brain	0	0	0.00125353	0.00237621
ENSG00000164600	Mm Hs	NEUROD6	Dopaminergic neurons	Atoh2|NEX1M|Math-2|bHLHa2|Nex1	0.087	neuronal differentiation 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.0050141	0.108792
ENSG00000157103	Mm Hs	SLC6A1	GABAergic neurons	GAT1|GABATR|GABATHG	0.043	solute carrier family 6 member 1	protein-coding gene	1	Ectoderm	Brain	0	0.875	0.00313283	0.0523035
ENSG00000136928	Mm Hs	GABBR2	GABAergic neurons	HG20|GABABR2|GPRC3B|GPR51	0.023	gamma-aminobutyric acid type B receptor subunit 2	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00657895	0.0262803
ENSG00000128683	Mm Hs	GAD1	GABAergic neurons	GAD	0.03	glutamate decarboxylase 1	protein-coding gene	1	Ectoderm	Brain	0	1	0.00344612	0.0368181
ENSG00000075891	Mm Hs	PAX2	GABAergic neurons	NA	0.002	paired box 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00344612	0.00167063
ENSG00000101438	Mm Hs	SLC32A1	GABAergic neurons	VGAT|bA122O1.1|VIAAT	0.026	solute carrier family 32 member 1	protein-coding gene	1	Ectoderm	Brain	0	1	0.00156642	0.031742
ENSG00000136750	Mm Hs	GAD2	GABAergic neurons	GAD65	0.073	glutamate decarboxylase 2	protein-coding gene	1	Ectoderm	Brain	0	1	0.0244361	0.0862944
ENSG00000146469	Mm Hs	VIP	GABAergic neurons	NA	0.003	vasoactive intestinal peptide	protein-coding gene	1	Ectoderm	Brain	0	0.5	0	0.00231318
ENSG00000157005	Mm Hs	SST	GABAergic neurons	SMST	0.027	somatostatin	protein-coding gene	1	Ectoderm	Brain	0	0.25	0.047619	0.0237743
ENSG00000100362	Mm Hs	PVALB	GABAergic neurons	D22S749	0.005	parvalbumin	protein-coding gene	1	Ectoderm	Brain	0	0	0.00344612	0.0058472
ENSG00000183578	Mm Hs	TNFAIP8L3	GABAergic neurons	FLJ41287	0.001	TNF alpha induced protein 8 like 3	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00077106
ENSG00000075223	Mm Hs	SEMA3C	GABAergic neurons	SemE|SEMAE	0.04	semaphorin 3C	protein-coding gene	1	Ectoderm	Brain	0	0	0.0128446	0.0460066
ENSG00000196091	Mm Hs	MYBPC1	GABAergic neurons	NA	0.001	"myosin binding protein C, slow type"	protein-coding gene	1	Ectoderm	Brain	0	0	0.00281955	0.00077106
ENSG00000169116	Mm Hs	PARM1	GABAergic neurons	DKFZP564O0823|Cipar1|WSC4	0.02	prostate androgen-regulated mucin-like protein 1	protein-coding gene	1	Ectoderm	Brain	0	0.125	0.018797	0.0207544
ENSG00000144355	Mm Hs	DLX1	GABAergic neurons	NA	0.036	distal-less homeobox 1	protein-coding gene	1	Ectoderm	Brain	0	0.375	0	0.0447215
ENSG00000104888	Mm Hs	SLC17A7	Glutaminergic neurons	BNPI|VGLUT1	0.012	solute carrier family 17 member 7	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.0138719
ENSG00000091664	Mm Hs	SLC17A6	Glutaminergic neurons	DNPI|VGLUT2	0.016	solute carrier family 17 member 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.000313283	0.0201015
ENSG00000176884	Mm Hs	GRIN1	Glutaminergic neurons	GluN1|NMDAR1	0.016	glutamate ionotropic receptor NMDA type subunit 1	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00125313	0.0203584
ENSG00000273079	Mm Hs	GRIN2B	Glutaminergic neurons	GluN2B|NMDAR2B	0.076	glutamate ionotropic receptor NMDA type subunit 2B	protein-coding gene	NA	Ectoderm	Brain	0	0	0.00501253	0.0947274
ENSG00000115419	Mm Hs	GLS	Glutaminergic neurons	KIAA0838|GLS1	0.061	glutaminase	protein-coding gene	NA	Ectoderm	Brain	0	0	0.0197368	0.0723781
ENSG00000179520	Mm Hs	SLC17A8	Glutaminergic neurons	VGLUT3|DFNA25	0.001	solute carrier family 17 member 8	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.000834885
ENSG00000106688	Mm Hs	SLC1A1	Glutaminergic neurons	EAAC1|EAAT3	0.013	solute carrier family 1 member 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00156642	0.0161197
ENSG00000110436	Mm Hs	SLC1A2	Glutaminergic neurons	GLT-1|EAAT2	0.071	solute carrier family 1 member 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.0106516	0.0871492
ENSG00000105143	Mm Hs	SLC1A6	Glutaminergic neurons	EAAT4	0.003	solute carrier family 1 member 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.00313283	0.00295421
ENSG00000196517	Mm Hs	SLC6A9	Glycinergic neurons	NA	0.001	solute carrier family 6 member 9	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.000899107
ENSG00000101438	Mm Hs	SLC32A1	Glycinergic neurons	VGAT|bA122O1.1|VIAAT	0.026	solute carrier family 32 member 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00156642	0.0322394
ENSG00000007372	Mm Hs	PAX6	Immature neurons	D11S812E|AN2	0.049	paired box 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.014411	0.0590238
ENSG00000186472	Mm Hs	PCLO	Immature neurons	KIAA0559|DKFZp779G1236|ACZ	0.039	piccolo presynaptic cytomatrix protein	protein-coding gene	1	Ectoderm	Brain	0	0	0.00501253	0.0456005
ENSG00000111249	Mm Hs	CUX2	Immature neurons	KIAA0293|CDP2|CUTL2	0.024	cut like homeobox 2	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.0302505
ENSG00000124140	Mm Hs	SLC12A5	Immature neurons	KIAA1176|KCC2	0.048	solute carrier family 12 member 5	protein-coding gene	1	Ectoderm	Brain	0	0	0.0037594	0.0583173
ENSG00000115138	Mm Hs	POMC	Immature neurons	POC|ACTH|NPP|LPH	0.008	proopiomelanocortin	protein-coding gene	1	Ectoderm	Brain	0	0	0.0238095	0.00500963
ENSG00000109689	Mm Hs	STIM2	Immature neurons	NA	0.036	stromal interaction molecule 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.0131579	0.0418754
ENSG00000134438	Mm Hs	RAX	Immature neurons	RX	0.006	retina and anterior neural fold homeobox	protein-coding gene	1	Ectoderm	Brain	0	0	0	0
ENSG00000166266	Mm Hs	CUL5	Immature neurons	VACM-1	0.057	cullin 5	protein-coding gene	1	Ectoderm	Brain	0	0	0.0291353	0.0617213
ENSG00000010818	Mm Hs	HIVEP2	Immature neurons	MBP-2|HIV-EP2|MIBP1|ZAS2|Schnurri-2|ZNF40B	0.055	human immunodeficiency virus type I enhancer binding protein 2	protein-coding gene	1	Ectoderm	Brain	0	1	0.00250627	0.068465
ENSG00000172461	Mm Hs	FUT9	Immature neurons	Fuc-TIX	0.039	fucosyltransferase 9	protein-coding gene	1	Ectoderm	Brain	0	1	0.0018797	0.0480411
ENSG00000136535	Mm Hs	TBR1	Immature neurons	NA	0.018	"T-box, brain 1"	protein-coding gene	1	Ectoderm	Brain	0	1	0.00125313	0.0220938
ENSG00000117707	Mm Hs	PROX1	Immature neurons	NA	0.028	prospero homeobox 1	protein-coding gene	1	Ectoderm	Brain	0	1	0.0109649	0.0324342
ENSG00000140538	Mm Hs	NTRK3	Immature neurons	TRKC	0.044	neurotrophic receptor tyrosine kinase 3	protein-coding gene	1	Ectoderm	Brain	0	1	0.00908521	0.0531792
ENSG00000108830	Mm Hs	RND2	Immature neurons	Rho7|RhoN|ARHN	0.044	Rho family GTPase 2	protein-coding gene	1	Ectoderm	Brain	0	1	0.0213033	0.0503532
ENSG00000153266	Mm Hs	FEZF2	Immature neurons	FLJ10142|FKSG36|TOF|FEZL|Zfp312|ZNF312	0.008	FEZ family zinc finger 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00093985	0.00976236
ENSG00000134532	Mm Hs	SOX5	Immature neurons	L-SOX5|MGC35153	0.009	SRY-box 5	protein-coding gene	1	Ectoderm	Brain	0	0	0.0203634	0.007386
ENSG00000169855	Mm Hs	ROBO1	Immature neurons	DUTT1|FLJ21882|SAX3	0.006	roundabout guidance receptor 1	protein-coding gene	1	Ectoderm	Brain	0	1	0.00657895	0.0059088
ENSG00000135333	Mm Hs	EPHA7	Immature neurons	Hek11	0.008	EPH receptor A7	protein-coding gene	0	Ectoderm	Brain	0	1	0.00845865	0.00828516
ENSG00000044524	Mm Hs	EPHA3	Immature neurons	HEK|HEK4|ETK1	0.018	EPH receptor A3	protein-coding gene	1	Ectoderm	Brain	0	0	0.000626566	0.0229929
ENSG00000230797	Mm Hs	YY2	Immature neurons	ZNF631	0.001	YY2 transcription factor	protein-coding gene	1	Ectoderm	Brain	0	0	0.00344612	0
ENSG00000106688	Mm Hs	SLC1A1	Immature neurons	EAAC1|EAAT3	0.013	solute carrier family 1 member 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00156642	0.0161207
ENSG00000074181	Mm Hs	NOTCH3	Immature neurons	CASIL|CADASIL	0.02	notch 3	protein-coding gene	1	Ectoderm	Brain	0	0	0.014411	0.0220938
ENSG00000148400	Mm Hs	NOTCH1	Immature neurons	TAN1	0.007	notch 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00469925	0.0076429
ENSG00000106852	Mm Hs	LHX6	Immature neurons	LHX6.1	0.011	LIM homeobox 6	protein-coding gene	1	Ectoderm	Brain	0	0	0.00438596	0.013359
ENSG00000132688	Mm Hs	NES	Immature neurons	FLJ21841	0.048	nestin	protein-coding gene	1	Ectoderm	Brain	0	0	0.0510652	0.0441875
ENSG00000167281	Mm Hs	RBFOX3	Immature neurons	FOX-3|NeuN|HRNBP3	0.04	RNA binding fox-1 homolog 3	protein-coding gene	1	Ectoderm	Brain	0	1	0.0109649	0.0484265
ENSG00000118260	Mm Hs	CREB1	Immature neurons	NA	0.016	cAMP responsive element binding protein 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.0413534	0.00976236
ENSG00000162992	Mm Hs	NEUROD1	Immature neurons	BETA2|BHF-1|NeuroD|bHLHa3|MODY6|NEUROD	0.038	neuronal differentiation 1	protein-coding gene	1	Ectoderm	Brain	0	1	0.023183	0.0429672
ENSG00000139352	Mm Hs	ASCL1	Immature neurons	HASH1|bHLHa46	0.007	achaete-scute family bHLH transcription factor 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00532581	0.00725755
ENSG00000198400	Mm Hs	NTRK1	Immature neurons	TRKA|MTC	0.004	neurotrophic receptor tyrosine kinase 1	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00475273
ENSG00000008056	Mm Hs	SYN1	Immature neurons	NA	0.028	synapsin I	protein-coding gene	1	Ectoderm	Brain	0	1	0.000626566	0.034939
ENSG00000196712	Mm Hs	NF1	Immature neurons	NA	0.029	neurofibromin 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.0350877	0.0285806
ENSG00000171791	Mm Hs	BCL2	Immature neurons	Bcl-2|PPP1R50	0.043	"BCL2, apoptosis regulator"	protein-coding gene	1	Ectoderm	Brain	0	0	0.00156642	0.051702
ENSG00000186564	Mm Hs	FOXD2	Immature neurons	FREAC9|FKHL17	0.001	forkhead box D2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00250627	0.000770713
ENSG00000105376	Mm Hs	ICAM5	Immature neurons	TLCN	0.006	intercellular adhesion molecule 5	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.007386
ENSG00000180616	Mm Hs	SSTR2	Immature neurons	NA	0.028	somatostatin receptor 2	protein-coding gene	1	Ectoderm	Brain	0	1	0.0115915	0.0299294
ENSG00000178403	Mm Hs	NEUROG2	Immature neurons	Atoh4|Math4A|ngn-2|bHLHa8|NGN2	0.016	neurogenin 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00093985	0.0203597
ENSG00000104327	Mm Hs	CALB1	Interneurons	CALB	0.019	calbindin 1	protein-coding gene	1	Ectoderm	Brain	0	0.144385	0.00125313	0.0221009
ENSG00000187094	Mm Hs	CCK	Interneurons	NA	0.033	cholecystokinin	protein-coding gene	1	Ectoderm	Brain	0	0.737968	0.00344612	0.0300312
ENSG00000070748	Mm Hs	CHAT	Interneurons	NA	0.001	choline O-acetyltransferase	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00162506
ENSG00000119614	Mm Hs	VSX2	Interneurons	RET1|HOX10|CHX10	0.004	visual system homeobox 2	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.0049402
ENSG00000163064	Mm Hs	EN1	Interneurons	NA	0.003	engrailed homeobox 1	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.00377015
ENSG00000006468	Mm Hs	ETV1	Interneurons	ER81	0.037	ETS variant 1	protein-coding gene	1	Ectoderm	Brain	0	0.128342	0.00814536	0.0440718
ENSG00000128683	Mm Hs	GAD1	Interneurons	GAD	0.03	glutamate decarboxylase 1	protein-coding gene	1	Ectoderm	Brain	0	0.149733	0.00344612	0.0359464
ENSG00000016082	Mm Hs	ISL1	Interneurons	Isl-1|ISLET1	0.028	ISL LIM homeobox 1	protein-coding gene	1	Ectoderm	Brain	0	0.0534759	0.0134712	0.0311362
ENSG00000132130	Mm Hs	LHX1	Interneurons	LIM-1	0.011	LIM homeobox 1	protein-coding gene	1	Ectoderm	Brain	0	0	0.00657895	0.0127405
ENSG00000089116	Mm Hs	LHX5	Interneurons	NA	0.01	LIM homeobox 5	protein-coding gene	1	Ectoderm	Brain	0	0	0.00219298	0.0122205
ENSG00000107187	Mm Hs	LHX3	Interneurons	NA	0.001	LIM homeobox 3	protein-coding gene	1	Ectoderm	Brain	0	0	0	0.000845034
ENSG00000106852	Mm Hs	LHX6	Interneurons	LHX6.1	0.011	LIM homeobox 6	protein-coding gene	1	Ectoderm	Brain	0	0.0213904	0.00438596	0.0132605
ENSG00000152822	Mm Hs	GRM1	Interneurons	GPRC1A|mGlu1|MGLUR1|PPP1R85	0.004	glutamate metabotropic receptor 1	protein-coding gene	1	Ectoderm	Brain	0	0.139037	0	0.00338014
ENSG00000122585	Mm Hs	NPY	Interneurons	PYY4	0.015	neuropeptide Y	protein-coding gene	1	Ectoderm	Brain	0	0.0427807	0.0056391	0.0167707
ENSG00000105464	Mm Hs	GRIN2D	Interneurons	GluN2D|EB11|NR2D|NMDAR2D	0.002	glutamate ionotropic receptor NMDA type subunit 2D	protein-coding gene	1	Ectoderm	Brain	0	0.0160428	0	0.00182007
ENSG00000089250	Mm Hs	NOS1	Interneurons	nNOS	0.004	nitric oxide synthase 1	protein-coding gene	1	Ectoderm	Brain	0	0.0213904	0	0.00383515
ENSG00000100362	Mm Hs	PVALB	Interneurons	D22S749	0.005	parvalbumin	protein-coding gene	1	Ectoderm	Brain	0	0.0320856	0.00344612	0.00552522
ENSG00000075891	Mm Hs	PAX2	Interneurons	NA	0.002	paired box 2	protein-coding gene	1	Ectoderm	Brain	0	0	0.00344612	0.00169007
ENSG00000157005	Mm Hs	SST	Interneurons	SMST	0.027	somatostatin	protein-coding gene	1	Ectoderm	Brain	0	0.0374332	0.047619	0.0237259
ENSG00000115353	Mm Hs	TACR1	Interneurons	SPR|NK1R|TAC1R	0.001	tachykinin receptor 1	protein-coding gene	1	Ectoderm	Brain	0	0.0106952	0	0.00104004
ENSG00000146469	Mm Hs	VIP	Interneurons	NA	0.003	vasoactive intestinal peptide	protein-coding gene	1	Ectoderm	Brain	0	0.0106952	0	0.0024701
ENSG00000120088	Mm Hs	CRHR1	Interneurons	CRF-R|CRF1|CRHR	0.002	corticotropin releasing hormone receptor 1	protein-coding gene	1	Ectoderm	Brain	0	0.026738	0	0.00175507
ENSG00000124507	Mm Hs	PACSIN1	Interneurons	SDPI	0.04	protein kinase C and casein kinase substrate in neurons 1	protein-coding gene	NA	Ectoderm	Brain	0	0.550802	0	0.0439418
ENSG00000008056	Mm Hs	SYN1	Interneurons	NA	0.028	synapsin I	protein-coding gene	NA	Ectoderm	Brain	0	0.545455	0.000626566	0.0287962
ENSG00000114279	Mm Hs	FGF12	Interneurons	FHF1|FGF12B	0.014	fibroblast growth factor 12	protein-coding gene	NA	Ectoderm	Brain	0	0.160428	0.00438596	0.0154056
ENSG00000122584	Mm Hs	NXPH1	Interneurons	NA	0.022	neurexophilin 1	protein-coding gene	1	Ectoderm	Brain	0	0.0748663	0.000313283	0.0271711
ENSG00000011347	Mm Hs	SYT7	Interneurons	IPCA-7|SYT-VII|MGC150517|PCANAP7	0.024	synaptotagmin 7	protein-coding gene	NA	Ectoderm	Brain	0	0.71123	0.00626566	0.0200858
ENSG00000151490	Mm Hs	PTPRO	Interneurons	PTPU2|GLEPP1|PTP-U2|PTP-oc|NPHS6	0.011	"protein tyrosine phosphatase, receptor type O"	protein-coding gene	1	Ectoderm	Brain	0	0.0695187	0.0075188	0.0115055
ENSG00000170579	Mm Hs	DLGAP1	Interneurons	GKAP|SAPAP1|DAP-1	0.036	DLG associated protein 1	protein-coding gene	NA	Ectoderm	Brain	0	0.764706	0.00219298	0.0359464
ENSG00000168243	Mm Hs	GNG4	Interneurons	NA	0.013	G protein subunit gamma 4	protein-coding gene	NA	Ectoderm	Brain	0	0.0748663	0.0175439	0.0110504
ENSG00000173805	Mm Hs	HAP1	Interneurons	hHLP1|HIP5	0.041	huntingtin associated protein 1	protein-coding gene	NA	Ectoderm	Brain	0	0.144385	0.000626566	0.049922
ENSG00000234965	Mm Hs	SHISA8	Interneurons	Orf26|C22orf17	0.004	shisa family member 8	protein-coding gene	NA	Ectoderm	Brain	0	0.0481283	0	0.00513521
ENSG00000183570	Mm Hs	PCBP3	Interneurons	FLJ44028|PCBP3-OT1|PCBP3OT	0.02	poly(rC) binding protein 3	protein-coding gene	NA	Ectoderm	Brain	0	0.0855615	0.00250627	0.023791
ENSG00000183044	Mm Hs	ABAT	Interneurons	GABAT	0.032	4-aminobutyrate aminotransferase	protein-coding gene	NA	Ectoderm	Brain	0	0.213904	0.00344612	0.0365315
ENSG00000248485	Mm Hs	PCP4L1	Interneurons	IQM1	0.044	Purkinje cell protein 4 like 1	protein-coding gene	NA	Ectoderm	Brain	0	0.144385	0	0.0542772
ENSG00000069482	Mm Hs	GAL	Interneurons	GMAP|GAL-GMAP|GLNN|GALN	0.014	galanin and GMAP prepropeptide	protein-coding gene	NA	Ectoderm	Brain	0	0.026738	0.0184837	0.0110504
ENSG00000180176	Mm Hs	TH	Interneurons	DYT5b	0.002	tyrosine hydroxylase	protein-coding gene	NA	Ectoderm	Brain	0	0.0427807	0.0018797	0.00195008
ENSG00000163630	Mm Hs	SYNPR	Interneurons	MGC26651	0.022	synaptoporin	protein-coding gene	NA	Ectoderm	Brain	0	0.0748663	0.00093985	0.0270411
ENSG00000170893	Mm Hs	TRH	Interneurons	NA	0.002	thyrotropin releasing hormone	protein-coding gene	NA	Ectoderm	Brain	0	0.0427807	0	0.00208008
ENSG00000155897	Mm Hs	ADCY8	Interneurons	HBAC1|AC8|ADCY3	0.001	adenylate cyclase 8	protein-coding gene	NA	Ectoderm	Brain	0	0.0320856	0	0.000390016
ENSG00000118523	Mm Hs	CTGF	Interneurons	IGFBP8|CCN2	0.028	connective tissue growth factor	protein-coding gene	NA	Ectoderm	Brain	0	0.0160428	0.0996241	0.0124155
ENSG00000165521	Mm Hs	EML5	Interneurons	HuEMAP-2	0.01	echinoderm microtubule associated protein like 5	protein-coding gene	NA	Ectoderm	Brain	0	0.0160428	0	0.0120255
ENSG00000186318	Mm Hs	BACE1	Interneurons	BACE	0.022	beta-secretase 1	protein-coding gene	NA	Ectoderm	Brain	0	0.0588235	0.0037594	0.025611
ENSG00000166862	Mm Hs	CACNG2	Interneurons	stargazin|MGC138502|MGC138504	0.014	calcium voltage-gated channel auxiliary subunit gamma 2	protein-coding gene	NA	Ectoderm	Brain	0	0.219251	0	0.0152106
ENSG00000123684	Mm Hs	LPGAT1	Interneurons	KIAA0205|FAM34A1|NET8|FAM34A	0.043	lysophosphatidylglycerol acyltransferase 1	protein-coding gene	NA	Ectoderm	Brain	0	0.390374	0.0222431	0.0442668
ENSG00000090971	Mm Hs	NAT14	Interneurons	KLP1	0.015	N-acetyltransferase 14 (putative)	protein-coding gene	NA	Ectoderm	Brain	0	0.262032	0.00657895	0.0133255
ENSG00000124140	Mm Hs	SLC12A5	Interneurons	KIAA1176|KCC2	0.048	solute carrier family 12 member 5	protein-coding gene	NA	Ectoderm	Brain	0	0.695187	0.0037594	0.050572
ENSG00000155792	Mm Hs	DEPTOR	Interneurons	DEP.6|FLJ12428|DEPDC6	0.012	DEP domain containing MTOR interacting protein	protein-coding gene	NA	Ectoderm	Brain	0	0.0481283	0.00281955	0.0135855
ENSG00000163393	Mm Hs	SLC22A15	Interneurons	FLIPT1	0.017	solute carrier family 22 member 15	protein-coding gene	NA	Ectoderm	Brain	0	0.128342	0	0.0199558
ENSG00000065989	Mm Hs	PDE4A	Interneurons	DPDE2	0.013	phosphodiesterase 4A	protein-coding gene	NA	Ectoderm	Brain	0	0.219251	0.00125313	0.0134555
ENSG00000075539	Mm Hs	FRYL	Interneurons	DKFZp686E205|AF4p12|MOR2|KIAA0826	0.03	FRY like transcription coactivator	protein-coding gene	NA	Ectoderm	Brain	0	0.0748663	0.0291353	0.0304862
ENSG00000100505	Mm Hs	TRIM9	Interneurons	SPRING|RNF91	0.023	tripartite motif containing 9	protein-coding gene	NA	Ectoderm	Brain	0	0.411765	0.00093985	0.0236609
ENSG00000129159	Mm Hs	KCNC1	Interneurons	Kv3.1	0.03	potassium voltage-gated channel subfamily C member 1	protein-coding gene	NA	Ectoderm	Brain	0	0.224599	0.000313283	0.0356864
ENSG00000169213	Mm Hs	RAB3B	Interneurons	NA	0.023	"RAB3B, member RAS oncogene family"	protein-coding gene	NA	Ectoderm	Brain	0	0.128342	0.0191103	0.0225559
ENSG00000059758	Mm Hs	CDK17	Interneurons	PCTAIRE2|PCTK2	0.023	cyclin dependent kinase 17	protein-coding gene	NA	Ectoderm	Brain	0	0.235294	0.0128446	0.023791
ENSG00000091844	Mm Hs	RGS17	Interneurons	RGSZ2|RGS-17	0.031	regulator of G protein signaling 17	protein-coding gene	NA	Ectoderm	Brain	0	0.171123	0.0037594	0.0356864
ENSG00000114770	Mm Hs	ABCC5	Interneurons	MRP5|SMRP|EST277145|MOAT-C	0.044	ATP binding cassette subfamily C member 5	protein-coding gene	NA	Ectoderm	Brain	0	0.171123	0.00438596	0.0525221
ENSG00000167964	Mm Hs	RAB26	Interneurons	NA	0.002	"RAB26, member RAS oncogene family"	protein-coding gene	NA	Ectoderm	Brain	0	0.0374332	0.00532581	0.000650026
ENSG00000147852	Mm Hs	VLDLR	Interneurons	CARMQ1|CHRMQ1|VLDLRCH	0.025	very low density lipoprotein receptor	protein-coding gene	NA	Ectoderm	Brain	0	0.0588235	0.0037594	0.0305512
ENSG00000105605	Mm Hs	CACNG7	Interneurons	NA	0.002	calcium voltage-gated channel auxiliary subunit gamma 7	protein-coding gene	NA	Ectoderm	Brain	0	0.0802139	0	0.00214509
